NAME,ADDRESS,POSTCODE,No of P/Stations,,,,,,,,,,,
,,,,,,,,,,,,,,
ELY EAST - STUNTNEY ,STUNTNEY SOCIAL CLUB SOHAM ROAD STUNTNEY ELY,CB7 5TL,1,,,,,,,,,,,
ELY EAST - PRICKWILLOW,PRICKWILOW VILLAGE HALL 21 MAIN STREET PRICKWILLOW ELY ,CB7 4UN,1,,,,,,,,,,,
ELY EAST - Q ADELAIDE,QUEEN ADELAIDE VILLAGE HALL PRICKWILLOW ROAD QUEEN ADELAIDE ELY,CB7 4TZ,1,,,,,,,,,,,
ELY NORTH ,"PORTACABIN ON HIGH BARNS RECYLCING CENTRE, HIGH BARNS ELY CAMBS",CB7 4SB,2,,,,,,,,,,,
ELY NORTH ,PORTACABIN ON DAVISON ROAD ELY ,CB7 4FF,1,,,,,,,,,,,
ELY EAST,ST PETERS CHURCH HALL BROAD STREET ELY CAMBS,CB7 4AH,1,,,,,,,,,,,
ELY EAST ,THE FORUM FORMERLY CENTRE E BARTON ROAD ELY,CB7 4DE,1,,,,,,,,,,,
ELY WEST,ELY METHODIST CHURCH CHAPEL STREET ELY,CB6 1AD,2,,,,,,,,,,,
ELY SOUTH,GUIDE HALL ST JOHNS ROAD ELY ,CB6 3BW,2,,,,,,,,,,,
ELY NORTH - CHETTISHAM,ST MICHAEL'S & ALL ANGELS CHURCH THE HAMLET CHETTISHAM ELY CAMBS,CB6 1SA,1,,,,,,,,,,,
ELY EAST,VERNON CROSS ROOM THE OLD GAOL HOUSE MARKET STREET ELY,CB7 4LS,1,,,,,,,,,,,
BOTTISHAM,BOTTISHAM ROYAL BRITISH LEGION 31 DOWNING CLOSE BOTTISHAM ,CB25 9DA,2,,,,,,,,,,,
BURWELL NORTH,BURWELL BAPTIST CHURCH HALL NORTH STREET BURWELL,CB25 0BB,2,,,,,,,,,,,
BURWELL SOUTH,GARDINER MEMORIAL HALL HIGH STREET BURWELL,CB25 0HD,2,,,,,,,,,,,
LODE,FASSAGE HALL  STATION ROAD LODE,CB25 9HB,1,,,,,,,,,,,
REACH,REACH VILLAGE CENTRE FAIR GREEN REACH,CB25 0JD,1,,,,,,,,,,,
SWAFFHAM BULBECK,DOWNING COURT COMMUNAL ROOM 1 DOWNING COURT SWAFFHAM BULBECK ,CB25 0LP,1,,,,,,,,,,,
SWAFFHAM PRIOR,SWAFFHAM PRIOR VILLAGE HALL HIGH STREET SWAFFHAM PRIOR,CB25 0LD,1,,,,,,,,,,,
CHIPPENHAM,CHIPPENHAM VILLAGE HALL HIGH STREET CHIPPENHAM ELY ,CB7 5PP,1,,,,,,,,,,,
FORDHAM,VICTORIA HALL CARTER STREET FORDHAM ELY,CB7 5NG,1,,,,,,,,,,,
ISLEHAM,ISLEHAM VILLAGE HALL MILL STREET ISLEHAM ELY,CB7 5RY,1,,,,,,,,,,,
KENNETT,KENNETT PAVILION STATION ROAD KENNETT NEWMARKET SUFFOLK,CB8 9UT,1,,,,,,,,,,,
SOHAM NORTH,TOWN RANGERS FOOTBALL CLUB JULIUS MARTIN LANE SOHAM ELY,CB7 5EQ,2,,,,,,,,,,,
SOHAM CENTRAL,THE WALTER GIDNEY PAVILION RECREATION GROUND SOHAM ELY,CB7 5ED,2,,,,,,,,,,,
SOHAM SOUTH,THE CHERRY TREE  FORDHAM ROAD SOHAM ELY,CB7 5AH,1,,,,,,,,,,,
SNAILWELL,GEORGE & DRAGON 31 THE STREET SNAILWELL NEWMARKET,CB8 7LX,1,,,,,,,,,,,
WICKEN,THE MISSION HALL HIGH STREET WICKEN ELY,CB7 5XR,1,,,,,,,,,,,
ASHLEY,ASHLEY VILLAGE HALL 48 HIGH STREET ASHLEY NEWMARKET,CB8 9DX,1,,,,,,,,,,,
BRINKLEY,BRINKLEY MEMORIAL HALL HIGH STREET BRINKLEY NR NEWMARKET,CB8 0SF,1,,,,,,,,,,,
BURROUGH GREEN,BURROUGH GREEN VILLAGE HALL BRADLEY RD BURROUGH GREEN N'MARKET,CB8 9NH,1,,,,,,,,,,,
CHEVELEY NORTH,NEWMARKET TOWN FOOTBALL CLUB CRICKET FIELD ROAD NEWMARKET,CB8 8BT,1,,,,,,,,,,,
CHEVELEY SOUTH,CHEVELEY PRIMARY SCHOOL COMMUNITY ROOM HIGH ST CHEVELEYN'MARKET,CB8 9DG,1,,,,,,,,,,,
DULLINGHAM,THE TAYLOR HALL 3 CHURCH CLOSE DULLINGHAM NEWMARKET,CB8 9XE,1,,,,,,,,,,,
KIRTLING,KIRTLING VILLAGE HALL KIRTLING NEWMARKET,CB8 9PB,1,,,,,,,,,,,
STETCHWORTH,THE ELLESMERE CENTRE LEY ROAD STETCHWORTH NEWMARKET,CB8 9TS,1,,,,,,,,,,,
WESTLEY,WESTLEY WATERLESS VILLAGE HALL MAIN ST WESTLEY WATERLESS N'MARKET,CB8 0RG,1,,,,,,,,,,,
WOODDITTON URBAN,NEWMARKET TOWN FOOTBALL CLUB CRICKET FIELD ROAD NEWMARKET,CB8 8BT,1,,,,,,,,,,,
WOODDITTON RURAL,PARSONAGE FARM BARNS PARSONAGE FARM LANE WOODDITTON NEWMARKET,CB8 9RZ,1,,,,,,,,,,,
SAXON STREET,METHODIST CHURCH SAXON STREET NEWMARKET,CB8 9RN,1,,,,,,,,,,,
COVENEY,COVENEY VILLAGE HALL SCHOOL LANE COVENEY ELY,CB6 2DJ,1,,,,,,,,,,,
DOWNHAM SOUTH,LITTLE DOWNHAM VILLAGE CENTRE MAIN STREET LITTLE DOWNHAM ELY,CB6 2SX,1,,,,,,,,,,,
DOWNHAM (PYMOOR),PYMOOR METHODIST CHURCH MAIN STREET PYMOOR ELY,CB6 2DY,1,,,,,,,,,,,
LITTLEPORT WEST,"THE VINE COMMUNITY HALL, GLEBE LANE LITTLEPORT",,2,,,,,,,,,,,
LITTLEPORT EAST,LITTLEPORT VILLAGE HALL VICTORIA STREET LITTLEPORT ELY,CB6 1LX,2,,,,,,,,,,,
LITTLEPORT (COMMUNITY CENTRE),THE COMMUNITY CENTRE BLACKHORSE DROVE LITTLEPORT ELY,CB6 1EG,1,,,,,,,,,,,
HADDENHAM,ARKENSTALL CENTRE 7 STATION ROAD HADDENHAM ELY,CB6 3XD,2,,,,,,,,,,,
ALDRETH,ALDRETH VILLAGE CENTRE HIGH STREET ALDRETH ELY,CB6 3PQ,1,,,,,,,,,,,
MEPAL,MEPAL VILLAGE HALL SCHOOL LANE MEPAL ELY,CB6 2AJ,1,,,,,,,,,,,
STRETHAM,STRETHAM CHURCH HALL 42 HIGH STREET STRETHAM ELY CAMBS,CB6 3LD,1,,,,,,,,,,,
SUTTON,ROYAL BRITISH LEGION BROOKLANDS CENTRE THE BROOK SUTTON ELY,CB6 2QQ,2,,,,,,,,,,,
THETFORD,LITTLE THETFORD VILLAGE HALL THE WYCHES LITTLE THETFORD ELY,CB6 3HG,1,,,,,,,,,,,
WENTWORTH,WENTWORTH HALL CHURCH ROAD WENTWORTH ELY,CB6 3QE,1,,,,,,,,,,,
WILBURTON,ST PETERS HALL HIGH STREET WILBURTON ELY CAMBS,CB6 3RA,1,,,,,,,,,,,
WITCHAM,WITCHAM VILLAGE HALL MARTINS LANE WITCHAM ELY,CB6 2LB,1,,,,,,,,,,,
WITCHFORD,ST ANDREWS HALL MAIN STREET WITCHFORD ELY,CB6 2HQ,2,,,,,,,,,,,
