FORMCOUNT,DISTRICT,DSTR_NAME,DSTR_ADD1,DSTR_ADD2,DSTR_ORDER,DSTR_STNOS,BLDG_DESC,BLDG_NAME,BLDG_ADD1,BLDG_ADD2,BLDG_ADD3,BLDG_ADD4,BLDG_ADD5,BLDG_PCODE,STN1_FULLSTATNO,STN1_START,STN1_FINISH,STN2_FULLSTATNO,STN2_START,STN2_FINISH,STN3_FULLSTATNO,STN3_START,STN3_FINISH,STN4_FULLSTATNO,STN4_START,STN4_FINISH,STN5_FULLSTATNO,STN5_START,STN5_FINISH,STN6_FULLSTATNO,STN6_START,STN6_FINISH,EURO_NAME,EURO_NAME2,WARD_NAME,WARD_NAME2,PARL_NAME,PARL_NAME2,DIV_NAME,DIV_NAME2,PRSH_NAME,PRSH_NAME2,NEW_EURO_NAME,NEW_EURO_NAME2,NEW_WARD_NAME,NEW_WARD_NAME2,NEW_PARL_NAME,NEW_PARL_NAME2,NEW_DIV_NAME,NEW_DIV_NAME2,NEW_PRSH_NAME,NEW_PRSH_NAME2,PUBLISHED,QUALIFICATION,REGISTYEAR,LASTYEAR,NEXTYEAR,OVERSEAS_PUBLISH,SYSTEM_NAME1,SYSTEM_NAME2,SYSTEM_CENAME,SYSTEM_CETITLE,SYSTEM_NAME,SYSTEM_TITLE,SYSTEM_PHONE,SYSTEM_ADD1,SYSTEM_ADD2,SYSTEM_ADD3,SYSTEM_ADD4,SYSTEM_ADD5,SYSTEM_ADD6,SYSTEM_ADD7,SYSTEM_PCODE,DUMMY_FIELD
000001,LAA,"Barcombe","","",1,1,"Barcombe Village Hall","Barcombe Village Hall","Barcombe Mills Road","Barcombe","Lewes","","East Sussex",Bn8 5bh,1,1,1116,,0,0,,0,0,,0,0,,0,0,,0,0,"South East","","Barcombe And Hamsey","","Lewes","","Ringmer And Lewes Bridge","","Barcombe Parish Council","","South East","","Barcombe And Hamsey","","Lewes","","Ringmer And Lewes Bridge","","Barcombe Parish Council","","","1 December 2014",2015,2014,2016,"01/12/2014","Lewes District Council","Legal & Democratic Services","Jenny Rowlands","Electoral Registration Officer","Jackie Gavigan","Deputy Electoral Registration Officer","01273 484116","Southover House","Southover Road","","Lewes","","East Sussex","","BN7 1AB",dummy field
000002,LAC,"Hamsey","","",2,1,"Beechwood Hall","Beechwood Hall","Beechwood Lane","Cooksbridge","Lewes","","East Sussex",Bn7 3qg,2,1,458,,0,0,,0,0,,0,0,,0,0,,0,0,"South East","","Barcombe And Hamsey","","Lewes","","Ringmer And Lewes Bridge","","Hamsey Parish Council","","South East","","Barcombe And Hamsey","","Lewes","","Ringmer And Lewes Bridge","","Hamsey Parish Council","","","1 December 2014",2015,2014,2016,"01/12/2014","Lewes District Council","Legal & Democratic Services","Jenny Rowlands","Electoral Registration Officer","Jackie Gavigan","Deputy Electoral Registration Officer","01273 484116","Southover House","Southover Road","","Lewes","","East Sussex","","BN7 1AB",dummy field
000003,LBA,"Chailey","","",3,2,"Chailey Parish Hall","Chailey Parish Hall","Chailey Green Road","Chailey Green","Lewes","","East Sussex",Bn8 4da,3,1,2273,,0,0,,0,0,,0,0,,0,0,,0,0,"South East","","Chailey And Wivelsfield","","Lewes","","Chailey","","Chailey Parish Council","","South East","","Chailey And Wivelsfield","","Lewes","","Chailey","","Chailey Parish Council","","","1 December 2014",2015,2014,2016,"01/12/2014","Lewes District Council","Legal & Democratic Services","Jenny Rowlands","Electoral Registration Officer","Jackie Gavigan","Deputy Electoral Registration Officer","01273 484116","Southover House","Southover Road","","Lewes","","East Sussex","","BN7 1AB",dummy field
000004,LBB,"Wivelsfield","","",4,2,"Wivelsfield Village Hall","Wivelsfield Village Hall","Eastern Road","Wivelsfield","Haywards Heath","","West Sussex",Rh17 7qh,4,1,1682,,0,0,,0,0,,0,0,,0,0,,0,0,"South East","","Chailey And Wivelsfield","","Lewes","","Chailey","","Wivelsfield Parish Council","","South East","","Chailey And Wivelsfield","","Lewes","","Chailey","","Wivelsfield Parish Council","","","1 December 2014",2015,2014,2016,"01/12/2014","Lewes District Council","Legal & Democratic Services","Jenny Rowlands","Electoral Registration Officer","Jackie Gavigan","Deputy Electoral Registration Officer","01273 484116","Southover House","Southover Road","","Lewes","","East Sussex","","BN7 1AB",dummy field
000005,LCA,"Ditchling (part)","","",5,1,"Ditchling Village Hall ","Ditchling Village Hall ","Lewes Road","Ditchling","","Hassocks","West Sussex",Bn6 8tt,5,1,1330,,0,0,,0,0,,0,0,,0,0,,0,0,"South East","","Ditchling And Westmeston","","Lewes","","Chailey","","Ditchling Parish Council","","South East","","Ditchling And Westmeston","","Lewes","","Chailey","","Ditchling Parish Council","","","1 December 2014",2015,2014,2016,"01/12/2014","Lewes District Council","Legal & Democratic Services","Jenny Rowlands","Electoral Registration Officer","Jackie Gavigan","Deputy Electoral Registration Officer","01273 484116","Southover House","Southover Road","","Lewes","","East Sussex","","BN7 1AB",dummy field
000006,LCB,"Ditchling (part)","","",6,1,"Wivelsfield Village Hall","Wivelsfield Village Hall","Eastern Road","Wivelsfield","Haywards Heath","","West Sussex",Rh17 7qh,6,1,451,,0,0,,0,0,,0,0,,0,0,,0,0,"South East","","Ditchling And Westmeston","","Lewes","","Chailey","","Ditchling Parish Council","","South East","","Ditchling And Westmeston","","Lewes","","Chailey","","Ditchling Parish Council","","","1 December 2014",2015,2014,2016,"01/12/2014","Lewes District Council","Legal & Democratic Services","Jenny Rowlands","Electoral Registration Officer","Jackie Gavigan","Deputy Electoral Registration Officer","01273 484116","Southover House","Southover Road","","Lewes","","East Sussex","","BN7 1AB",dummy field
000007,LCC,"Westmeston","","",7,1,"Westmeston Parish Hall","Westmeston Parish Hall","Lewes Road","Westmeston","","Hassocks","West Sussex",Bn6 8rl,7,1,246,,0,0,,0,0,,0,0,,0,0,,0,0,"South East","","Ditchling And Westmeston","","Lewes","","Chailey","","Westmeston Parish Council","","South East","","Ditchling And Westmeston","","Lewes","","Chailey","","Westmeston Parish Council","","","1 December 2014",2015,2014,2016,"01/12/2014","Lewes District Council","Legal & Democratic Services","Jenny Rowlands","Electoral Registration Officer","Jackie Gavigan","Deputy Electoral Registration Officer","01273 484116","Southover House","Southover Road","","Lewes","","East Sussex","","BN7 1AB",dummy field
000008,LDA,"East Saltdean","","",8,2,"St Martins Church Hall","St Martins Church Hall","Longridge Avenue","Saltdean","","Brighton","East Sussex",Bn2 8rb,39,1,2219,,0,0,,0,0,,0,0,,0,0,,0,0,"South East","","East Saltdean And Telscombe Cliffs","","Brighton, Kemptown","","Peacehaven And Telscombe Towns","","Telscombe Town Council - East Saltdean Ward","","South East","","East Saltdean And Telscombe Cliffs","","Brighton, Kemptown","","Peacehaven And Telscombe Towns","","Telscombe Town Council - East Saltdean Ward","","","1 December 2014",2015,2014,2016,"01/12/2014","Lewes District Council","Legal & Democratic Services","Jenny Rowlands","Electoral Registration Officer","Jackie Gavigan","Deputy Electoral Registration Officer","01273 484116","Southover House","Southover Road","","Lewes","","East Sussex","","BN7 1AB",dummy field
000009,LDB,"Telscombe (part)","","",9,1,"Telscombe Parish Hall","Telscombe Parish Hall","Tyedean Road","Telscombe Cliffs","","Peacehaven","East Sussex",Bn10 7au,40,1,1576,,0,0,,0,0,,0,0,,0,0,,0,0,"South East","","East Saltdean And Telscombe Cliffs","","Brighton, Kemptown","","Peacehaven And Telscombe Towns","","Telscombe Town Council - Telscombe Cliffs Ward","","South East","","East Saltdean And Telscombe Cliffs","","Brighton, Kemptown","","Peacehaven And Telscombe Towns","","Telscombe Town Council - Telscombe Cliffs Ward","","","1 December 2014",2015,2014,2016,"01/12/2014","Lewes District Council","Legal & Democratic Services","Jenny Rowlands","Electoral Registration Officer","Jackie Gavigan","Deputy Electoral Registration Officer","01273 484116","Southover House","Southover Road","","Lewes","","East Sussex","","BN7 1AB",dummy field
000010,LDC,"Telscombe (part)","","",10,1,"Telscombe Cliffs County Primary School","Telscombe Cliffs County Primary School","Telscombe Cliffs Way","Telscombe Cliffs","","Peacehaven","East Sussex",Bn10 7de,41,1,1728,,0,0,,0,0,,0,0,,0,0,,0,0,"South East","","East Saltdean And Telscombe Cliffs","","Brighton, Kemptown","","Peacehaven And Telscombe Towns","","Telscombe Town Council - Telscombe Cliffs Ward","","South East","","East Saltdean And Telscombe Cliffs","","Brighton, Kemptown","","Peacehaven And Telscombe Towns","","Telscombe Town Council - Telscombe Cliffs Ward","","","1 December 2014",2015,2014,2016,"01/12/2014","Lewes District Council","Legal & Democratic Services","Jenny Rowlands","Electoral Registration Officer","Jackie Gavigan","Deputy Electoral Registration Officer","01273 484116","Southover House","Southover Road","","Lewes","","East Sussex","","BN7 1AB",dummy field
000011,LEA,"Falmer","","",11,1,"Falmer Parish Hall","Falmer Parish Hall","South Street","Falmer","","Brighton","East Sussex",Bn1 9pq,8,1,134,,0,0,,0,0,,0,0,,0,0,,0,0,"South East","","Kingston","","Lewes","","Newhaven And Ouse Valley West","","Falmer Parish Council","","South East","","Kingston","","Lewes","","Newhaven And Ouse Valley West","","Falmer Parish Council","","","1 December 2014",2015,2014,2016,"01/12/2014","Lewes District Council","Legal & Democratic Services","Jenny Rowlands","Electoral Registration Officer","Jackie Gavigan","Deputy Electoral Registration Officer","01273 484116","Southover House","Southover Road","","Lewes","","East Sussex","","BN7 1AB",dummy field
000012,LEB,"Iford","","",12,1,"Iford Village Hall","Iford Village Hall","The Street","Iford","","Lewes","East Sussex",Bn7 3el,9,1,154,,0,0,,0,0,,0,0,,0,0,,0,0,"South East","","Kingston","","Lewes","","Newhaven And Ouse Valley West","","Iford Parish Meeting","","South East","","Kingston","","Lewes","","Newhaven And Ouse Valley West","","Iford Parish Meeting","","","1 December 2014",2015,2014,2016,"01/12/2014","Lewes District Council","Legal & Democratic Services","Jenny Rowlands","Electoral Registration Officer","Jackie Gavigan","Deputy Electoral Registration Officer","01273 484116","Southover House","Southover Road","","Lewes","","East Sussex","","BN7 1AB",dummy field
000013,LEC,"Kingston Near Lewes","","",13,1,"Kingston Parish Hall","Kingston Parish Hall","The Street","Kingston","","Lewes","East Sussex",Bn7 3nt,10,1,689,,0,0,,0,0,,0,0,,0,0,,0,0,"South East","","Kingston","","Lewes","","Newhaven And Ouse Valley West","","Kingston Parish Council","","South East","","Kingston","","Lewes","","Newhaven And Ouse Valley West","","Kingston Parish Council","","","1 December 2014",2015,2014,2016,"01/12/2014","Lewes District Council","Legal & Democratic Services","Jenny Rowlands","Electoral Registration Officer","Jackie Gavigan","Deputy Electoral Registration Officer","01273 484116","Southover House","Southover Road","","Lewes","","East Sussex","","BN7 1AB",dummy field
000014,LED,"Piddinghoe","","",14,1,"Piddinghoe Village Hall","Piddinghoe Village Hall","The Street","Piddinghoe","","Newhaven","East Sussex",Bn9 9as,11,1,204,,0,0,,0,0,,0,0,,0,0,,0,0,"South East","","Kingston","","Lewes","","Newhaven And Ouse Valley West","","Piddinghoe Parish Council","","South East","","Kingston","","Lewes","","Newhaven And Ouse Valley West","","Piddinghoe Parish Council","","","1 December 2014",2015,2014,2016,"01/12/2014","Lewes District Council","Legal & Democratic Services","Jenny Rowlands","Electoral Registration Officer","Jackie Gavigan","Deputy Electoral Registration Officer","01273 484116","Southover House","Southover Road","","Lewes","","East Sussex","","BN7 1AB",dummy field
000015,LEE,"Rodmell","","",15,1,"Rodmell Village Hall","Rodmell Village Hall","Martens Field","Rodmell","","Lewes","East Sussex",Bn7 3hr,12,1,333,,0,0,,0,0,,0,0,,0,0,,0,0,"South East","","Kingston","","Lewes","","Newhaven And Ouse Valley West","","Rodmell Parish Council","","South East","","Kingston","","Lewes","","Newhaven And Ouse Valley West","","Rodmell Parish Council","","","1 December 2014",2015,2014,2016,"01/12/2014","Lewes District Council","Legal & Democratic Services","Jenny Rowlands","Electoral Registration Officer","Jackie Gavigan","Deputy Electoral Registration Officer","01273 484116","Southover House","Southover Road","","Lewes","","East Sussex","","BN7 1AB",dummy field
000016,LEF,"St Ann (without)","","",16,1,"Christ Church Hall","Christ Church Hall","Fitzjohn Road","","Lewes","","East Sussex",Bn7 1bl,13,1,71,,0,0,,0,0,,0,0,,0,0,,0,0,"South East","","Kingston","","Lewes","","Newhaven And Ouse Valley West","","St Ann Without Parish Meeting","","South East","","Kingston","","Lewes","","Newhaven And Ouse Valley West","","St Ann Without Parish Meeting","","","1 December 2014",2015,2014,2016,"01/12/2014","Lewes District Council","Legal & Democratic Services","Jenny Rowlands","Electoral Registration Officer","Jackie Gavigan","Deputy Electoral Registration Officer","01273 484116","Southover House","Southover Road","","Lewes","","East Sussex","","BN7 1AB",dummy field
000017,LEG,"Southease","","",17,1,"Rodmell Village Hall","Rodmell Village Hall","Martens Field","Rodmell","","Lewes","East Sussex",Bn7 3hr,12,1,38,,0,0,,0,0,,0,0,,0,0,,0,0,"South East","","Kingston","","Lewes","","Newhaven And Ouse Valley West","","Southease Parish Meeting","","South East","","Kingston","","Lewes","","Newhaven And Ouse Valley West","","Southease Parish Meeting","","","1 December 2014",2015,2014,2016,"01/12/2014","Lewes District Council","Legal & Democratic Services","Jenny Rowlands","Electoral Registration Officer","Jackie Gavigan","Deputy Electoral Registration Officer","01273 484116","Southover House","Southover Road","","Lewes","","East Sussex","","BN7 1AB",dummy field
000018,LFA,"Lewes Bridge (part)","","",18,1,"The Town Hall - Corn Exchange","The Town Hall - Corn Exchange","Fisher Street Entrance","","Lewes","","East Sussex",Bn7 2de,14,1,1304,,0,0,,0,0,,0,0,,0,0,,0,0,"South East","","Lewes Bridge","","Lewes","","Ringmer And Lewes Bridge","","Lewes Town Council - Lewes Bridge Ward","","South East","","Lewes Bridge","","Lewes","","Ringmer And Lewes Bridge","","Lewes Town Council - Lewes Bridge Ward","","","1 December 2014",2015,2014,2016,"01/12/2014","Lewes District Council","Legal & Democratic Services","Jenny Rowlands","Electoral Registration Officer","Jackie Gavigan","Deputy Electoral Registration Officer","01273 484116","Southover House","Southover Road","","Lewes","","East Sussex","","BN7 1AB",dummy field
000019,LFB,"Lewes Bridge (part)","","",19,1,"Cliffe Hall","Cliffe Hall","Cliffe High Street","","Lewes","","East Sussex",Bn7 2an,15,1,812,,0,0,,0,0,,0,0,,0,0,,0,0,"South East","","Lewes Bridge","","Lewes","","Ringmer And Lewes Bridge","","Lewes Town Council - Lewes Bridge Ward","","South East","","Lewes Bridge","","Lewes","","Ringmer And Lewes Bridge","","Lewes Town Council - Lewes Bridge Ward","","","1 December 2014",2015,2014,2016,"01/12/2014","Lewes District Council","Legal & Democratic Services","Jenny Rowlands","Electoral Registration Officer","Jackie Gavigan","Deputy Electoral Registration Officer","01273 484116","Southover House","Southover Road","","Lewes","","East Sussex","","BN7 1AB",dummy field
000020,LFC,"Lewes Bridge (part)","","",20,2,"Malling Community Centre","Malling Community Centre","Spences Lane","","Lewes","","East Sussex",Bn7 2hq,16,1,1887,,0,0,,0,0,,0,0,,0,0,,0,0,"South East","","Lewes Bridge","","Lewes","","Ringmer And Lewes Bridge","","Lewes Town Council - Lewes Bridge Ward","","South East","","Lewes Bridge","","Lewes","","Ringmer And Lewes Bridge","","Lewes Town Council - Lewes Bridge Ward","","","1 December 2014",2015,2014,2016,"01/12/2014","Lewes District Council","Legal & Democratic Services","Jenny Rowlands","Electoral Registration Officer","Jackie Gavigan","Deputy Electoral Registration Officer","01273 484116","Southover House","Southover Road","","Lewes","","East Sussex","","BN7 1AB",dummy field
000021,LGA,"Lewes Castle (part)","","",21,1,"Lewes Youth Centre","Lewes Youth Centre","Landport Road","","Lewes","","East Sussex",Bn7 2su,17,1,1357,,0,0,,0,0,,0,0,,0,0,,0,0,"South East","","Lewes Castle","","Lewes","","Lewes","","Lewes Town Council - Lewes Castle Ward","","South East","","Lewes Castle","","Lewes","","Lewes","","Lewes Town Council - Lewes Castle Ward","","","1 December 2014",2015,2014,2016,"01/12/2014","Lewes District Council","Legal & Democratic Services","Jenny Rowlands","Electoral Registration Officer","Jackie Gavigan","Deputy Electoral Registration Officer","01273 484116","Southover House","Southover Road","","Lewes","","East Sussex","","BN7 1AB",dummy field
000022,LGB,"Lewes Castle (part)","","",22,1,"The Town Hall - Corn Exchange","The Town Hall - Corn Exchange","Fisher Street Entrance","","Lewes","","East Sussex",Bn7 2de,18,1,1512,,0,0,,0,0,,0,0,,0,0,,0,0,"South East","","Lewes Castle","","Lewes","","Lewes","","Lewes Town Council - Lewes Castle Ward","","South East","","Lewes Castle","","Lewes","","Lewes","","Lewes Town Council - Lewes Castle Ward","","","1 December 2014",2015,2014,2016,"01/12/2014","Lewes District Council","Legal & Democratic Services","Jenny Rowlands","Electoral Registration Officer","Jackie Gavigan","Deputy Electoral Registration Officer","01273 484116","Southover House","Southover Road","","Lewes","","East Sussex","","BN7 1AB",dummy field
000023,LGC,"Lewes Castle (part)","","",23,1,"St Marys Social Centre","St Marys Social Centre","Christie Road","","Lewes","","East Sussex",Bn7 1pl,19,1,544,,0,0,,0,0,,0,0,,0,0,,0,0,"South East","","Lewes Castle","","Lewes","","Lewes","","Lewes Town Council - Lewes Castle Ward","","South East","","Lewes Castle","","Lewes","","Lewes","","Lewes Town Council - Lewes Castle Ward","","","1 December 2014",2015,2014,2016,"01/12/2014","Lewes District Council","Legal & Democratic Services","Jenny Rowlands","Electoral Registration Officer","Jackie Gavigan","Deputy Electoral Registration Officer","01273 484116","Southover House","Southover Road","","Lewes","","East Sussex","","BN7 1AB",dummy field
000024,LHA,"Lewes Priory (part)","","",24,1,"St Marys Social Centre","St Marys Social Centre","Christie Road","","Lewes","","East Sussex",Bn7 1pl,20,1,1292,,0,0,,0,0,,0,0,,0,0,,0,0,"South East","","Lewes Priory","","Lewes","","Lewes","","Lewes Town Council - Lewes Priory Ward","","South East","","Lewes Priory","","Lewes","","Lewes","","Lewes Town Council - Lewes Priory Ward","","","1 December 2014",2015,2014,2016,"01/12/2014","Lewes District Council","Legal & Democratic Services","Jenny Rowlands","Electoral Registration Officer","Jackie Gavigan","Deputy Electoral Registration Officer","01273 484116","Southover House","Southover Road","","Lewes","","East Sussex","","BN7 1AB",dummy field
000025,LHB,"Lewes Priory (part)","","",25,1,"Christ Church Hall","Christ Church Hall","Fitzjohn Road","","Lewes","","East Sussex",Bn7 1bl,21,1,2289,,0,0,,0,0,,0,0,,0,0,,0,0,"South East","","Lewes Priory","","Lewes","","Lewes","","Lewes Town Council - Lewes Priory Ward","","South East","","Lewes Priory","","Lewes","","Lewes","","Lewes Town Council - Lewes Priory Ward","","","1 December 2014",2015,2014,2016,"01/12/2014","Lewes District Council","Legal & Democratic Services","Jenny Rowlands","Electoral Registration Officer","Jackie Gavigan","Deputy Electoral Registration Officer","01273 484116","Southover House","Southover Road","","Lewes","","East Sussex","","BN7 1AB",dummy field
000026,LHC,"Lewes Priory (part)","","",26,1,"Western Road C P School","Western Road C P School","Southover High Street","","Lewes","","East Sussex",Bn7 1jb,22,1,1674,,0,0,,0,0,,0,0,,0,0,,0,0,"South East","","Lewes Priory","","Lewes","","Lewes","","Lewes Town Council - Lewes Priory Ward","","South East","","Lewes Priory","","Lewes","","Lewes","","Lewes Town Council - Lewes Priory Ward","","","1 December 2014",2015,2014,2016,"01/12/2014","Lewes District Council","Legal & Democratic Services","Jenny Rowlands","Electoral Registration Officer","Jackie Gavigan","Deputy Electoral Registration Officer","01273 484116","Southover House","Southover Road","","Lewes","","East Sussex","","BN7 1AB",dummy field
000027,LIA,"Newhaven Denton And Meeching (part)","","",27,2,"Denton And Mount Pleasant Social Centre","Denton And Mount Pleasant Social Centre","Denton Road","Denton","Newhaven","","East Sussex",Bn9 0px,23,1,2080,,0,0,,0,0,,0,0,,0,0,,0,0,"South East","","Newhaven Denton And Meeching","","Lewes","","Ouse Valley East","","Newhaven Town Council - Newhaven Denton Ward","","South East","","Newhaven Denton And Meeching","","Lewes","","Ouse Valley East","","Newhaven Town Council - Newhaven Denton Ward","","","1 December 2014",2015,2014,2016,"01/12/2014","Lewes District Council","Legal & Democratic Services","Jenny Rowlands","Electoral Registration Officer","Jackie Gavigan","Deputy Electoral Registration Officer","01273 484116","Southover House","Southover Road","","Lewes","","East Sussex","","BN7 1AB",dummy field
000028,LIC,"Newhaven Denton And Meeching (part)","","",28,1,"East Side Social Centre","East Side Social Centre","Norton Terrace","","Newhaven","","East Sussex",Bn9 0bt,24,1,219,,0,0,,0,0,,0,0,,0,0,,0,0,"South East","","Newhaven Denton And Meeching","","Lewes","","Ouse Valley East","","Newhaven Town Council - Newhaven Denton Ward","","South East","","Newhaven Denton And Meeching","","Lewes","","Ouse Valley East","","Newhaven Town Council - Newhaven Denton Ward","","","1 December 2014",2015,2014,2016,"01/12/2014","Lewes District Council","Legal & Democratic Services","Jenny Rowlands","Electoral Registration Officer","Jackie Gavigan","Deputy Electoral Registration Officer","01273 484116","Southover House","Southover Road","","Lewes","","East Sussex","","BN7 1AB",dummy field
000029,LID,"Newhaven Denton And Meeching (part)","","",29,2,"The Hillcrest Centre","The Hillcrest Centre","Hillcrest Road","","Newhaven","","East Sussex",Bn9 9ea,25,1,1878,26,1879,3526,,0,0,,0,0,,0,0,,0,0,"South East","","Newhaven Denton And Meeching","","Lewes","","Newhaven And Ouse Valley West","","Newhaven Town Council - Newhaven Meeching Ward","","South East","","Newhaven Denton And Meeching","","Lewes","","Newhaven And Ouse Valley West","","Newhaven Town Council - Newhaven Meeching Ward","","","1 December 2014",2015,2014,2016,"01/12/2014","Lewes District Council","Legal & Democratic Services","Jenny Rowlands","Electoral Registration Officer","Jackie Gavigan","Deputy Electoral Registration Officer","01273 484116","Southover House","Southover Road","","Lewes","","East Sussex","","BN7 1AB",dummy field
000030,LJA,"Newhaven Valley (part)","","",30,1,"Newhaven Baptist Church Hall","Newhaven Baptist Church Hall","Church Hill","","Newhaven","","East Sussex",Bn9 9ly,27,1,1039,,0,0,,0,0,,0,0,,0,0,,0,0,"South East","","Newhaven Valley","","Lewes","","Newhaven And Ouse Valley West","","Newhaven Town Council - Newhaven Valley Ward","","South East","","Newhaven Valley","","Lewes","","Newhaven And Ouse Valley West","","Newhaven Town Council - Newhaven Valley Ward","","","1 December 2014",2015,2014,2016,"01/12/2014","Lewes District Council","Legal & Democratic Services","Jenny Rowlands","Electoral Registration Officer","Jackie Gavigan","Deputy Electoral Registration Officer","01273 484116","Southover House","Southover Road","","Lewes","","East Sussex","","BN7 1AB",dummy field
000031,LJB,"Newhaven Valley (part)","","",31,1,"Lewes Road Social Centre","Lewes Road Social Centre","Lewes Road","","Newhaven","","East Sussex",Bn9 9bl,28,1,1717,,0,0,,0,0,,0,0,,0,0,,0,0,"South East","","Newhaven Valley","","Lewes","","Newhaven And Ouse Valley West","","Newhaven Town Council - Newhaven Valley Ward","","South East","","Newhaven Valley","","Lewes","","Newhaven And Ouse Valley West","","Newhaven Town Council - Newhaven Valley Ward","","","1 December 2014",2015,2014,2016,"01/12/2014","Lewes District Council","Legal & Democratic Services","Jenny Rowlands","Electoral Registration Officer","Jackie Gavigan","Deputy Electoral Registration Officer","01273 484116","Southover House","Southover Road","","Lewes","","East Sussex","","BN7 1AB",dummy field
000032,LKA,"Newick","","",32,1,"Newick Community Centre","Newick Community Centre","The Green","Newick","","Lewes","East Sussex",Bn8 4lb,29,1,1974,,0,0,,0,0,,0,0,,0,0,,0,0,"South East","","Newick","","Lewes","","Chailey","","Newick Parish Council","","South East","","Newick","","Lewes","","Chailey","","Newick Parish Council","","","1 December 2014",2015,2014,2016,"01/12/2014","Lewes District Council","Legal & Democratic Services","Jenny Rowlands","Electoral Registration Officer","Jackie Gavigan","Deputy Electoral Registration Officer","01273 484116","Southover House","Southover Road","","Lewes","","East Sussex","","BN7 1AB",dummy field
000033,LLA,"Beddingham","","",33,1,"Beddingham Reading Room","Beddingham Reading Room","Station Road","Glynde","","Lewes","East Sussex",Bn8 6ru,30,1,189,,0,0,,0,0,,0,0,,0,0,,0,0,"South East","","Ouse Valley And Ringmer","","Lewes","","Ouse Valley East","","Glynde And Beddingham Parish Council - Beddingham","","South East","","Ouse Valley And Ringmer","","Lewes","","Ouse Valley East","","Glynde And Beddingham Parish Council - Beddingham","","","1 December 2014",2015,2014,2016,"01/12/2014","Lewes District Council","Legal & Democratic Services","Jenny Rowlands","Electoral Registration Officer","Jackie Gavigan","Deputy Electoral Registration Officer","01273 484116","Southover House","Southover Road","","Lewes","","East Sussex","","BN7 1AB",dummy field
000034,LLB,"Firle","","",34,1,"Firle Village Hall","Firle Village Hall","The Street","Firle","","Lewes","East Sussex",Bn8 6ns,31,1,251,,0,0,,0,0,,0,0,,0,0,,0,0,"South East","","Ouse Valley And Ringmer","","Lewes","","Ouse Valley East","","Firle Parish Council","","South East","","Ouse Valley And Ringmer","","Lewes","","Ouse Valley East","","Firle Parish Council","","","1 December 2014",2015,2014,2016,"01/12/2014","Lewes District Council","Legal & Democratic Services","Jenny Rowlands","Electoral Registration Officer","Jackie Gavigan","Deputy Electoral Registration Officer","01273 484116","Southover House","Southover Road","","Lewes","","East Sussex","","BN7 1AB",dummy field
000035,LLC,"Glynde","","",35,1,"Beddingham Reading Room","Beddingham Reading Room","Station Road","Glynde","","Lewes","East Sussex",Bn8 6ru,30,1,178,,0,0,,0,0,,0,0,,0,0,,0,0,"South East","","Ouse Valley And Ringmer","","Lewes","","Ouse Valley East","","Glynde And Beddingham Parish Council - Glynde","","South East","","Ouse Valley And Ringmer","","Lewes","","Ouse Valley East","","Glynde And Beddingham Parish Council - Glynde","","","1 December 2014",2015,2014,2016,"01/12/2014","Lewes District Council","Legal & Democratic Services","Jenny Rowlands","Electoral Registration Officer","Jackie Gavigan","Deputy Electoral Registration Officer","01273 484116","Southover House","Southover Road","","Lewes","","East Sussex","","BN7 1AB",dummy field
